State,Country_or_Non_US,Total_Family_Submissions,Approved_Submissions,Total_Financial_Loss,Avg_Financial_Loss,Parents_Pro_Se,Reported_Loss_Count,Avg_Months_Lost,Actor_Name_Groups,Public_Actors,Below_Threshold_Actors,Total_Families_Naming_Actors,Top_3_Actors,Top_3_Roles,Report_PDF
"AK","","33","25","4453710","139178.44","18","8","45.2","28","0","28","31","Elizabeth Still (Custody Evaluator) — 2 families; Julie Hammond (GAL / Child Representative) — 2 families; Lance Joanis (Judge) — 2 families","Judge: 11 actors / 12 families; CPS Worker: 7 actors / 7 families; Attorney: 5 actors / 5 families","https://my.standwithmeg.com/state-reports/AK.pdf"
"AL","","111","89","8408572","85801.76","45","22","36.2","140","9","131","184","William E. Scully, Jr. (Judge) — 15 families; Joy Booth (Judge) — 4 families; Andrew Hairston (Judge) — 3 families","Judge: 31 actors / 58 families; Attorney: 40 actors / 48 families; GAL: 25 actors / 29 families","https://my.standwithmeg.com/state-reports/AL.pdf"
"","Algeria","1","0","0","0","0","0","35","0","0","0","0","","",""
"","American Samoa (US)","2","2","105700","52850","2","1","39","0","0","0","0","","",""
"AR","","51","39","3762430","89581.67","22","11","32.4","64","1","63","69","Dianna Hewitt Ladd (Judge) — 3 families; Hannah (Judge) — 2 families; Matt Durrett (Judge) — 2 families","Attorney: 31 actors / 32 families; Judge: 14 actors / 18 families; GAL: 8 actors / 8 families","https://my.standwithmeg.com/state-reports/AR.pdf"
"","Armenia","1","1","27833","27833","1","1","10","3","0","3","3","Candice Ferrara (Attorney) — 1 families; Judge wood (Judge) — 1 families; Tamara page (CPS Worker) — 1 families","Attorney: 1 actors / 1 families; Judge: 1 actors / 1 families; CPS Worker: 1 actors / 1 families",""
"","Australia","22","21","9897350","494867.5","15","11","36.7","49","0","49","50","Deanno Simonidis and the rest of his clowns (Attorney) — 2 families; ANGELA MALONE (CPS Worker) — 1 families; Annette Fulton (Therapist / Counselor) — 1 families","Judge: 17 actors / 17 families; Attorney: 12 actors / 13 families; Other: 6 actors / 6 families",""
"AZ","","78","66","15308067","212612.04","42","18","30.6","100","0","100","106","Barb Kiffmeyer (GAL / Child Representative / Other) — 2 families; Hope Fruchtman (Attorney / Judge) — 2 families; Melody Harmon (Judge) — 2 families","Judge: 27 actors / 30 families; CPS Worker: 24 actors / 24 families; Attorney: 22 actors / 23 families","https://my.standwithmeg.com/state-reports/AZ.pdf"
"","Botswana","1","1","82632","82632","0","0","","0","0","0","0","","",""
"CA","","421","339","108311993","289604.26","243","89","36.1","609","15","594","700","Jesse I. Santana (Judge) — 6 families; Michele Bell (Judge) — 6 families; Raymond De Jesus (Judge) — 6 families","Judge: 164 actors / 216 families; Attorney: 161 actors / 173 families; CPS Worker: 93 actors / 97 families","https://my.standwithmeg.com/state-reports/CA.pdf"
"","Canada","56","50","18020500","327645.45","37","15","42.4","106","0","106","111","Mary Korpach (Custody Evaluator) — 2 families; Robyn E. Clifford (Attorney) — 2 families; Roxanne Petts (Mediator) — 2 families","Attorney: 31 actors / 32 families; Judge: 29 actors / 31 families; CPS Worker: 26 actors / 26 families","https://my.standwithmeg.com/state-reports/Canada.pdf"
